name,good,bad
ボル,1,0
ギュナ,1,0
ツタ,1,0
クヌ,1,0
ロワ,1,0
スブ,1,0
セア,1,0
エプ,1,0
ムー,1,0
ジミ,1,0
イォ,1,0
ツゥ,1,0
バネ,1,0
オニュ,1,0
カン,1,0
ガー,1,0
ワメ,1,0
ギャビ,1,0
ワチャ,1,0
セク,1,0
デプ,1,0
テヴ,1,0
ユィ,1,0
ベハ,1,0
カリュ,1,0
ジュショ,1,0
ヒャチ,1,0
レチュ,1,0
ユゾ,1,0
リュネ,1,0
ベフ,1,0
ケプ,1,0
イド,1,0
ルモ,1,0
タシュ,1,0
ジャユ,1,0
ミュゥ,1,0
アズ,1,0
クバ,1,0
オショ,1,0
フツ,1,0
ハソ,1,0
アシュ,1,0
ユニャ,1,0
ソヨ,1,0
チカ,1,0
ヒャモ,1,0
ギョシュ,1,0
アチュ,1,0
ラギ,1,0
ケド,1,0
エサ,1,0
ヒャウ,1,0
ハヒュ,1,0
ヌブ,1,0
ギャキ,1,0
ミャレ,1,0
ワグ,1,0
チショ,1,0
キビャ,1,0
リパ,1,0
ピテ,1,0
ギュニャ,0,1
ピョフ,0,1
シニョ,0,1
ノキャ,0,1
ゼビュ,0,1
ブゲ,0,1
ヘギョ,0,1
ミビャ,0,1
ッツ,0,1
ェピョ,0,1
ゴピャ,0,1
ピギャ,0,1
モヒョ,0,1
レギャ,0,1
ビャヒャ,0,1
キャォ,0,1
ビショ,0,1
ゴヒョ,0,1
ヂゼ,0,1
ユッ,0,1
リュキュ,0,1
ヴワ,0,1
ビュフ,0,1
ズジョ,0,1
デテ,0,1
ヴヤ,0,1
ーン,0,1
トゥ,0,1
ビミャ,0,1
ェピ,0,1
テビョ,0,1
ヅジョ,0,1
ヅチ,0,1
ヌグ,0,1
ビャポ,0,1
リョリュ,0,1
ゼィ,0,1
ェリャ,0,1
