name,good,bad
チ,1,0
メ,1,0
デ,1,0
リ,1,0
ヌ,1,0
ヒ,1,0
ボ,1,0
ギ,1,0
ユ,1,0
ツ,1,0
ゲ,1,0
サ,1,0
チ,1,0
ル,1,0
ト,1,0
フ,1,0
ラ,1,0
キ,1,0
ゲ,1,0
ベ,1,0
ヒ,1,0
レ,1,0
ム,1,0
サ,1,0
ザ,1,0
ヨ,1,0
ジ,1,0
ゾ,1,0
グ,1,0
ヴ,1,0
パ,1,0
イ,1,0
ツ,1,0
オ,1,0
シ,1,0
ジ,1,0
コ,1,0
ル,1,0
ブ,0,1
ハ,0,1
リ,0,1
ア,0,1
ス,0,1
サ,0,1
ニ,0,1
ヒ,0,1
ー,0,1
シ,0,1
ェ,0,1
イ,0,1
ビ,0,1
グ,0,1
ジ,0,1
ボ,0,1
ゥ,0,1
ヒ,0,1
チ,0,1
ヂ,0,1
ゾ,0,1
ヒ,0,1
ラ,0,1
ホ,0,1
コ,0,1
ヒ,0,1
ミ,0,1
ィ,0,1
ヅ,0,1
イ,0,1
ヒ,0,1
ヒ,0,1
キ,0,1
ヂ,0,1
シ,0,1
ァ,0,1
ニ,0,1
ヨ,0,1
ヒ,0,1
ビ,0,1
ム,0,1
ァ,0,1
ィ,0,1
ロ,0,1
ク,0,1
グ,0,1
ジ,0,1
チ,0,1
ビ,0,1
ギ,0,1
ギ,0,1
フ,0,1
ソ,0,1
エ,0,1
キ,0,1
ピ,0,1
ギ,0,1
ピ,0,1
ァ,0,1
ー,0,1
ム,0,1
ヴ,0,1
