name,male,female,land,horse,monster,none
オスブ,1,0,0,0,0,0
スォウ,1,0,0,0,0,0
コミン,1,0,0,0,0,0
コシュー,1,0,0,0,0,0
オスビ,1,0,0,0,0,0
タロズ,1,0,0,0,0,0
グヨフ,1,0,0,0,0,0
ムルシュ,0,1,0,0,0,0
キムミュ,0,1,0,0,0,0
コチハ,0,1,0,0,0,0
ゼレサ,0,1,0,0,0,0
ソォリ,0,1,0,0,0,0
サシヴ,0,1,0,0,0,0
ミィゾ,0,1,0,0,0,0
レヒソ,0,0,1,0,0,0
ユガヒ,0,0,1,0,0,0
メコタ,0,0,1,0,0,0
ノヨキ,0,0,1,0,0,0
ゼバシャ,0,0,1,0,0,0
スリペ,0,0,1,0,0,0
ワッゾ,0,0,0,0,1,0
ワシビュ,0,0,0,0,0,1
グヅル,0,0,0,0,0,1
トコソ,0,0,0,0,0,1
ジャケビョ,0,0,0,0,0,1
ガプモ,0,0,0,0,0,1
ヅンツ,0,0,0,0,0,1
パテボ,0,0,0,0,0,1
ーォジョ,0,0,0,0,0,1
メルギャ,0,0,0,0,0,1
ピョパィ,0,0,0,0,0,1
ビャニゼ,0,0,0,0,0,1
ベピャツ,0,0,0,0,0,1
ヘイピャ,0,0,0,0,0,1
ヒョラペ,0,0,0,0,0,1
ジャヌオ,0,0,0,0,0,1
ドシャニャ,0,0,0,0,0,1
シュヨマ,0,0,0,0,0,1
グチュニ,0,0,0,0,0,1
ヴヒュッ,0,0,0,0,0,1
キュコヴ,0,0,0,0,0,1
テゼバ,0,0,0,0,0,1
メソヘ,0,0,0,0,0,1
ミュギョブ,0,0,0,0,0,1
メヒャキャ,0,0,0,0,0,1
ミャモシャ,0,0,0,0,0,1
キュメピ,0,0,0,0,0,1
ジャンギャ,0,0,0,0,0,1
キョゲジャ,0,0,0,0,0,1
ニャミピャ,0,0,0,0,0,1
キュヨキャ,0,0,0,0,0,1
チュギャニ,0,0,0,0,0,1
ミォパ,0,0,0,0,0,1
ジュピュポ,0,0,0,0,0,1
フリハ,0,0,0,0,0,1
ギャキイ,0,0,0,0,0,1
ィシル,0,0,0,0,0,1
ザピビ,0,0,0,0,0,1
メミヒャ,0,0,0,0,0,1
ツタキョ,0,0,0,0,0,1
オテハ,0,0,0,0,0,1
ノポツ,0,0,0,0,0,1
ナニャジョ,0,0,0,0,0,1
チャスギョ,0,0,0,0,0,1
リュヒュモ,0,0,0,0,0,1
チャパッ,0,0,0,0,0,1
ォジゾ,0,0,0,0,0,1
ルニュズ,0,0,0,0,0,1
ジュゥピョ,0,0,0,0,0,1
メフジュ,0,0,0,0,0,1
クギャギョ,0,0,0,0,0,1
ジュポポ,0,0,0,0,0,1
アマピュ,0,0,0,0,0,1
ヅミョタ,0,0,0,0,0,1
ルレビャ,0,0,0,0,0,1
ゼォェ,0,0,0,0,0,1
ギュペヘ,0,0,0,0,0,1
ドチョキョ,0,0,0,0,0,1
ヅシャジョ,0,0,0,0,0,1
ウベヘ,0,0,0,0,0,1
ミョアヨ,0,0,0,0,0,1
ゼミュド,0,0,0,0,0,1
ビヒュギュ,0,0,0,0,0,1
ギュチョホ,0,0,0,0,0,1
スゥプ,0,0,0,0,0,1
ヒュチョパ,0,0,0,0,0,1
エリミョ,0,0,0,0,0,1
ォドビャ,0,0,0,0,0,1
ァビズ,0,0,0,0,0,1
ケヤェ,0,0,0,0,0,1
ワゥヅ,0,0,0,0,0,1
ノヒョチャ,0,0,0,0,0,1
ゲギゲ,0,0,0,0,0,1
ゥムホ,0,0,0,0,0,1
ォニリョ,0,0,0,0,0,1
ピオド,0,0,0,0,0,1
ボニョツ,0,0,0,0,0,1
ワムオ,0,0,0,0,0,1
ゾヒャレ,0,0,0,0,0,1
ススユ,0,0,0,0,0,1
