name,good,bad
ウケ,1,0
ペゴ,1,0
ジア,1,0
ギリ,1,0
オン,1,0
シハ,1,0
グン,1,0
クィ,1,0
パブ,1,0
トグ,1,0
ショヴ,1,0
タリョ,1,0
チョフ,1,0
ハゥ,1,0
コヒュ,1,0
ロィ,1,0
ボウ,1,0
ガツ,1,0
ヴク,1,0
セペ,1,0
リャゼ,1,0
シュボ,1,0
デジ,1,0
リョオ,1,0
テヤ,1,0
ニョリ,1,0
グセ,1,0
ワピュ,1,0
デヤ,1,0
カプ,1,0
ギロ,1,0
ヒュエ,1,0
マチュ,1,0
コィ,1,0
ザリュ,1,0
ナモ,1,0
リウ,1,0
イエ,1,0
ドカ,1,0
シト,1,0
バビ,1,0
ヒュキ,1,0
キイ,1,0
ズヤ,1,0
ジャチャ,1,0
パユ,1,0
ラホ,1,0
メギ,1,0
モマ,1,0
リコ,1,0
ズシュ,1,0
ピャハ,1,0
ワベ,1,0
ジョシ,1,0
チャド,1,0
ウク,1,0
ペチュ,1,0
ネリュ,1,0
チャカ,1,0
ヒー,1,0
カタ,1,0
ビョメ,1,0
バリ,1,0
ギス,1,0
ショエ,1,0
メヒ,1,0
キュビ,1,0
シェ,1,0
ピャビョ,0,1
ヒョゾ,0,1
ゴミョ,0,1
スビュ,0,1
マギョ,0,1
ヒュリャ,0,1
ギュタ,0,1
ビキャ,0,1
キャビャ,0,1
ヴギ,0,1
ギボ,0,1
リュヒョ,0,1
ボポ,0,1
ヴヒ,0,1
シャヘ,0,1
ベギョ,0,1
シャピャ,0,1
リュビャ,0,1
イォ,0,1
ピョド,0,1
ヒャギュ,0,1
ゾチョ,0,1
ヘゥ,0,1
ヒュゾ,0,1
ヨユ,0,1
ヒョキョ,0,1
キュヒャ,0,1
リュベ,0,1
ギヒョ,0,1
ヨヌ,0,1
ガビャ,0,1
ラヒョ,0,1
