name,good,bad
ミュイ,1,0
ビュン,1,0
ネジュ,1,0
リュク,1,0
タリャ,1,0
チャフ,1,0
ニュレ,1,0
セピ,1,0
スィ,1,0
ナア,1,0
ゲテ,1,0
ショノ,1,0
リウ,1,0
ソド,1,0
コザ,1,0
サピ,1,0
ジツ,1,0
ゼヘ,1,0
コレ,1,0
シャワ,1,0
ケム,1,0
レネ,1,0
エイ,1,0
ケキ,1,0
タサ,1,0
サフ,1,0
デシ,1,0
マナ,1,0
パス,1,0
ヨホ,1,0
ロマ,1,0
ワミ,1,0
リュテ,1,0
ヒド,1,0
シャズ,1,0
モシャ,1,0
ガル,1,0
メム,1,0
モザ,1,0
ユラ,1,0
ヨレ,1,0
ビョリ,0,1
ポヘ,0,1
チミョ,0,1
ベフ,0,1
ビョミ,0,1
スヒュ,0,1
デテ,0,1
ゴハ,0,1
サヴ,0,1
ソザ,0,1
ケザ,0,1
ミュゴ,0,1
ヌブ,0,1
ケニュ,0,1
ルピョ,0,1
キキュ,0,1
ヒョズ,0,1
ヒペ,0,1
ペワ,0,1
ビャセ,0,1
グム,0,1
ピャパ,0,1
ギョブ,0,1
ユヒャ,0,1
キャギ,0,1
メショ,0,1
チタ,0,1
ビョペ,0,1
ミョポ,0,1
ビャタ,0,1
ギョシャ,0,1
ニャペ,0,1
モペ,0,1
ビャチュ,0,1
ホゴ,0,1
ガピュ,0,1
ウェ,0,1
ユペ,0,1
アォ,0,1
ワショ,0,1
グピャ,0,1
イヒャ,0,1
ワキョ,0,1
ビャニャ,0,1
ヒヤ,0,1
ジジュ,0,1
リャシュ,0,1
ゾリュ,0,1
デミャ,0,1
バリャ,0,1
ベリャ,0,1
ドォ,0,1
ギョミョ,0,1
ドィ,0,1
ブォ,0,1
ヒョヒョ,0,1
キャリュ,0,1
チョヒャ,0,1
ショリャ,0,1
