name,male,female,land,horse,monster,none
トウホ,1,0,0,0,0,0
ヘト,1,0,0,0,0,0
アシャミ,0,1,0,0,0,0
リョウミ,0,1,0,0,0,0
シャメ,0,1,0,0,0,0
ペユ,0,1,0,0,0,0
ノチュニュ,0,1,0,0,0,0
ベアミャ,0,0,1,0,0,0
ムクジュ,0,0,1,0,0,0
メトクチャダ,0,0,1,0,0,0
ホウワォ,0,0,1,0,0,0
ベゴ,0,0,0,0,1,0
マイクキメミキ,0,0,0,0,1,0
ピョウリャ,0,0,0,0,1,0
ビニャハハチャ,0,0,0,0,1,0
マズキュネモゼネ,0,0,0,0,1,0
ミャツチ,0,0,0,0,1,0
ズフヘルニゴグ,0,0,0,0,1,0
リュピョカジャフ,0,0,0,0,1,0
テニイケギャピ,0,0,0,0,1,0
ビャアゴニョ,0,0,0,0,1,0
ピュダチョオモ,0,0,0,0,1,0
ピャパヒャミャリュチョサ,0,0,0,0,0,1
ベアミャ,0,0,0,0,0,1
ダハプウヘミシャジョエグ,0,0,0,0,0,1
グヅシュイ,0,0,0,0,0,1
チョテヒョミュハギョ,0,0,0,0,0,1
トリュィジャチョニョギョゼキョ,0,0,0,0,0,1
ジュメレタヒョ,0,0,0,0,0,1
ホジ,0,0,0,0,0,1
リャテキミャリャガギャ,0,0,0,0,0,1
シャヒョキュニャノ,0,0,0,0,0,1
ビュマジョモギャ,0,0,0,0,0,1
ニュモヂソヘ,0,0,0,0,0,1
ニャムデベピョ,0,0,0,0,0,1
ゥヒャァ,0,0,0,0,0,1
ワリャボワベガソ,0,0,0,0,0,1
ヒョヒュ,0,0,0,0,0,1
ベサビャチョ,0,0,0,0,0,1
リシャバリギュルヅヂワミ,0,0,0,0,0,1
メサブニャビイ,0,0,0,0,0,1
ヅテナトジャギョチュニョ,0,0,0,0,0,1
ドボクリョキュワシピュ,0,0,0,0,0,1
ゴナモピジョヒャリョ,0,0,0,0,0,1
メズヒュエシャオ,0,0,0,0,0,1
ヒュヒョガセタモモピ,0,0,0,0,0,1
キャキナケタジチョブ,0,0,0,0,0,1
アゴシヒゴベゾ,0,0,0,0,0,1
プタデヂクヌ,0,0,0,0,0,1
ミキャナロブツミャ,0,0,0,0,0,1
ギュシャチュチャァイゼビュ,0,0,0,0,0,1
ロヤドキュノタプブギュバ,0,0,0,0,0,1
オラヤピュマグクデリョポ,0,0,0,0,0,1
ジュペチョスドデブ,0,0,0,0,0,1
ウウビ,0,0,0,0,0,1
ニャリャモナギョド,0,0,0,0,0,1
チュヒャヒュ,0,0,0,0,0,1
ジュセログナァコビュラズ,0,0,0,0,0,1
キキョノセヅスゾノショチョ,0,0,0,0,0,1
キュタマパセギョルザジャテ,0,0,0,0,0,1
ミュニメフワギョ,0,0,0,0,0,1
ヌギチョナヘヒニョキュニヅ,0,0,0,0,0,1
イゼナィペゲチョオ,0,0,0,0,0,1
ギュゾ,0,0,0,0,0,1
オチラペチキジェ,0,0,0,0,0,1
バマネゼニルピャリョ,0,0,0,0,0,1
ビョキニ,0,0,0,0,0,1
ピミャミョピョリュバピョロジュチュ,0,0,0,0,0,1
ジャッキョヘオタ,0,0,0,0,0,1
ジョラホピトシャショ,0,0,0,0,0,1
ェジャリヒャゲデビケヂ,0,0,0,0,0,1
ゥジャウグナ,0,0,0,0,0,1
キギュロビャゲツォフ,0,0,0,0,0,1
ヌミプハ,0,0,0,0,0,1
シュェモホホギュニチヨ,0,0,0,0,0,1
ペチキャスショィノバギ,0,0,0,0,0,1
ウヒョ,0,0,0,0,0,1
コミョギョガチュキョゴプ,0,0,0,0,0,1
ビャキャビョデオ,0,0,0,0,0,1
キヤヂスセノリュユ,0,0,0,0,0,1
シャビペシニャヨァ,0,0,0,0,0,1
キパィリニュハチ,0,0,0,0,0,1
ゥゾギョ,0,0,0,0,0,1
リコニッギ,0,0,0,0,0,1
ミバリョビョエペ,0,0,0,0,0,1
キョプザミョ,0,0,0,0,0,1
ポバニュスヂ,0,0,0,0,0,1
シビャプザミビ,0,0,0,0,0,1
ドキチュ,0,0,0,0,0,1
ヒュグリピョカリョ,0,0,0,0,0,1
ノピォニュカシンシャフ,0,0,0,0,0,1
ジュケダギナフヂニョニ,0,0,0,0,0,1
ギョザセ,0,0,0,0,0,1
ヒョビャビュロユフギャ,0,0,0,0,0,1
ハボケ,0,0,0,0,0,1
ミャキョデシャデキョゴ,0,0,0,0,0,1
ネギジニジヌヘ,0,0,0,0,0,1
ギュピグフウレヒュヒュヒャマ,0,0,0,0,0,1
ホゼガアパボハ,0,0,0,0,0,1
ニュメホホギョゼ,0,0,0,0,0,1
ヂエギュリャゴピャショチョボニ,0,0,0,0,0,1
ドジャ,1,0,0,0,0,0
ガイダフ,1,0,0,0,0,0
アシフカ,1,0,0,0,0,0
ホリャゾ,1,0,0,0,0,0
ゴニ,1,0,0,0,0,0
ワミョ,0,1,0,0,0,0
ジュリ,0,1,0,0,0,0
ユジュ,0,1,0,0,0,0
テゲレテリュジュア,0,1,0,0,0,0
アェニ,0,1,0,0,0,0
アプヘミュ,0,1,0,0,0,0
レハリャエ,0,1,0,0,0,0
グスワ,0,1,0,0,0,0
テペジュワ,0,1,0,0,0,0
ピダ,0,1,0,0,0,0
アカ,0,1,0,0,0,0
ルハゼビ,0,0,1,0,0,0
チャホピュン,0,0,1,0,0,0
テヒュショ,0,0,1,0,0,0
メエクプルメヒギョ,0,0,1,0,0,0
ソィベ,0,0,1,0,0,0
プシャ,0,0,1,0,0,0
ポチ,0,0,0,1,0,0
セン,0,0,0,1,0,0
マジョブショ,0,0,0,0,1,0
ミョジャダユハ,0,0,0,0,1,0
ニュハトギ,0,0,0,0,1,0
ニョピョカヌジャタウデジュ,0,0,0,0,0,1
ジョザラヒタザシャィワ,0,0,0,0,0,1
リャグヅウチュジャ,0,0,0,0,0,1
ビニョスダミュクチャメ,0,0,0,0,0,1
メホニョプデチャヒョ,0,0,0,0,0,1
ヒュニュモリュ,0,0,0,0,0,1
ペヒュマエトビュマユァツ,0,0,0,0,0,1
シザシュモユリャチャヒャ,0,0,0,0,0,1
ガヌヘピョルエンミョピャゲ,0,0,0,0,0,1
チョビャキュヅテニャジヒャ,0,0,0,0,0,1
ゾザオハチハ,0,0,0,0,0,1
サピュメミシュスグピ,0,0,0,0,0,1
ギョェズゲジョ,0,0,0,0,0,1
ダビャピュィモイ,0,0,0,0,0,1
ワモメオポクペビザト,0,0,0,0,0,1
チョピュハルニュコ,0,0,0,0,0,1
チャイショヌミュ,0,0,0,0,0,1
ジヂチュヌチュリリョッ,0,0,0,0,0,1
クピョツジャ,0,0,0,0,0,1
ミュシュジャグィヅ,0,0,0,0,0,1
ィノデヒョプブピャビョン,0,0,0,0,0,1
ホユピャドウグヒ,0,0,0,0,0,1
ピメショノミュデム,0,0,0,0,0,1
ニュジムムサギャ,0,0,0,0,0,1
ィキュザリャニョゲキュチャズモ,0,0,0,0,0,1
ダリホホソギュギバジョ,0,0,0,0,0,1
チョナヤミャゥラ,0,0,0,0,0,1
バジプリョィホサプ,0,0,0,0,0,1
ベエサダガビョ,0,0,0,0,0,1
ミョヒュズチュビャニュヂビャショ,0,0,0,0,0,1
メァミャトゾシャコサ,0,0,0,0,0,1
プェザヌキョリャゥブ,0,0,0,0,0,1
フキュキルリョニョビミ,0,0,0,0,0,1
アネクリャリョユゴニャギャペ,0,0,0,0,0,1
トセウジュピャドニュ,0,0,0,0,0,1
ニュベヒュワニポラレヘプ,0,0,0,0,0,1
カギョミャタス,0,0,0,0,0,1
ニャバセヒュテゼペオ,0,0,0,0,0,1
ツホクツリバペ,0,0,0,0,0,1
ビュゲ,0,0,0,0,0,1
エアヘ,0,0,0,0,0,1
リュヒュモパキ,0,0,0,0,0,1
