name,male,female,land,horse,monster,none
アオ,1,0,0,0,0,0
ロー,1,0,0,0,0,0
ウシュ,1,0,0,0,0,0
マズ,1,0,0,0,0,0
セォ,1,0,0,0,0,0
ルガ,1,0,0,0,0,0
ミイ,0,1,0,0,0,0
モナ,0,1,0,0,0,0
アザ,0,0,1,0,0,0
ショエ,0,0,1,0,0,0
ヘユ,0,0,1,0,0,0
ニキュ,0,0,1,0,0,0
デル,0,0,0,1,0,0
ヤマ,0,0,0,1,0,0
コジ,0,0,0,1,0,0
ボゴ,0,0,0,1,0,0
ミテ,0,0,0,1,0,0
マゾ,0,0,0,1,0,0
チャグ,0,0,0,1,0,0
ボサ,0,0,0,1,0,0
ロジ,0,0,0,1,0,0
グサ,0,0,0,0,1,0
ロケ,0,0,0,0,1,0
ブツ,0,0,0,0,1,0
ピョギャ,0,0,0,0,0,1
ミュミ,0,0,0,0,0,1
ノギャ,0,0,0,0,0,1
グミャ,0,0,0,0,0,1
ザミョ,0,0,0,0,0,1
ゼプ,0,0,0,0,0,1
モメ,0,0,0,0,0,1
シュヌ,0,0,0,0,0,1
ビュセ,0,0,0,0,0,1
ムジュ,0,0,0,0,0,1
ヴダ,0,0,0,0,0,1
ヘナ,0,0,0,0,0,1
ベレ,0,0,0,0,0,1
グメ,0,0,0,0,0,1
ィチャ,0,0,0,0,0,1
ショエ,0,0,0,0,0,1
ジョリョ,0,0,0,0,0,1
ニュズ,0,0,0,0,0,1
ァケ,0,0,0,0,0,1
ーー,0,0,0,0,0,1
ウヒョ,0,0,0,0,0,1
ダヂ,0,0,0,0,0,1
クヤ,0,0,0,0,0,1
キャク,0,0,0,0,0,1
ヒュピュ,0,0,0,0,0,1
ヂダ,0,0,0,0,0,1
ビケ,0,0,0,0,0,1
ノエ,0,0,0,0,0,1
キレ,0,0,0,0,0,1
ミョリョ,0,0,0,0,0,1
ゼリュ,0,0,0,0,0,1
ィバ,0,0,0,0,0,1
キュェ,0,0,0,0,0,1
ォヨ,0,0,0,0,0,1
シャヴ,0,0,0,0,0,1
ウヅ,0,0,0,0,0,1
カビャ,0,0,0,0,0,1
ホミャ,0,0,0,0,0,1
ビャゼ,0,0,0,0,0,1
ギャシャ,0,0,0,0,0,1
キュコ,0,0,0,0,0,1
テヤ,0,0,0,0,0,1
クィ,0,0,0,0,0,1
ズコ,0,0,0,0,0,1
デォ,0,0,0,0,0,1
リデ,0,0,0,0,0,1
ヨショ,0,0,0,0,0,1
ビャシャ,0,0,0,0,0,1
ピュッ,0,0,0,0,0,1
ハギュ,0,0,0,0,0,1
メヒャ,0,0,0,0,0,1
キュヅ,0,0,0,0,0,1
ギシュ,0,0,0,0,0,1
モミョ,0,0,0,0,0,1
ーパ,0,0,0,0,0,1
ヒョジュ,0,0,0,0,0,1
ニュヒ,0,0,0,0,0,1
ジョザ,0,0,0,0,0,1
ミヂ,0,0,0,0,0,1
ギビ,0,0,0,0,0,1
ヂエ,0,0,0,0,0,1
ヘズ,0,0,0,0,0,1
キョシャ,0,0,0,0,0,1
ピュビョ,0,0,0,0,0,1
ォネ,0,0,0,0,0,1
ショユ,0,0,0,0,0,1
ムホ,0,0,0,0,0,1
ゼヌ,0,0,0,0,0,1
ッメ,0,0,0,0,0,1
カア,0,0,0,0,0,1
ギュジ,0,0,0,0,0,1
ウギャ,0,0,0,0,0,1
リャニュ,0,0,0,0,0,1
ギャゲ,0,0,0,0,0,1
ニョィ,0,0,0,0,0,1
ヒュス,0,0,0,0,0,1
シポ,0,0,0,0,0,1
