name,male,female,land,horse,monster,none
ホト,1,0,0,0,0,0
ジャシ,1,0,0,0,0,0
ジャブ,1,0,0,0,0,0
ロミャ,1,0,0,0,0,0
ハヤ,1,0,0,0,0,0
ゴウ,1,0,0,0,0,0
ジュテ,1,0,0,0,0,0
ゼテ,1,0,0,0,0,0
モィ,0,1,0,0,0,0
ハメ,0,1,0,0,0,0
ピョネ,0,1,0,0,0,0
ルミャ,0,1,0,0,0,0
チナ,0,1,0,0,0,0
ミヅ,0,1,0,0,0,0
レシュ,0,1,0,0,0,0
シア,0,1,0,0,0,0
サニュ,0,1,0,0,0,0
メル,0,1,0,0,0,0
ユミャ,0,1,0,0,0,0
ナミ,0,1,0,0,0,0
シャニュ,0,1,0,0,0,0
ルノ,0,1,0,0,0,0
サゥ,0,1,0,0,0,0
エキ,0,0,1,0,0,0
スカ,0,0,1,0,0,0
ハシ,0,0,1,0,0,0
バフ,0,0,1,0,0,0
ピム,0,0,1,0,0,0
ユム,0,0,1,0,0,0
ラジャ,0,0,1,0,0,0
ゴズ,0,0,1,0,0,0
マメ,0,0,0,1,0,0
ジャコ,0,0,0,0,1,0
チュプ,0,0,0,0,1,0
プミ,0,0,0,0,1,0
リプ,0,0,0,0,1,0
ギパ,0,0,0,0,1,0
カゼ,0,0,0,0,1,0
グタ,0,0,0,0,0,1
ガニョ,0,0,0,0,0,1
モキ,0,0,0,0,0,1
プゾ,0,0,0,0,0,1
ッレ,0,0,0,0,0,1
ミュギ,0,0,0,0,0,1
ヒャピョ,0,0,0,0,0,1
ケビュ,0,0,0,0,0,1
ネセ,0,0,0,0,0,1
クゾ,0,0,0,0,0,1
ボミ,0,0,0,0,0,1
ヒョリュ,0,0,0,0,0,1
ミュポ,0,0,0,0,0,1
ポゲ,0,0,0,0,0,1
ヘメ,0,0,0,0,0,1
プビャ,0,0,0,0,0,1
ビョミュ,0,0,0,0,0,1
ギャプ,0,0,0,0,0,1
ジョピュ,0,0,0,0,0,1
ヒョエ,0,0,0,0,0,1
ヌワ,0,0,0,0,0,1
キミュ,0,0,0,0,0,1
ビュミャ,0,0,0,0,0,1
プジュ,0,0,0,0,0,1
ツプ,0,0,0,0,0,1
ビュパ,0,0,0,0,0,1
キホ,0,0,0,0,0,1
ゲァ,0,0,0,0,0,1
カヒャ,0,0,0,0,0,1
ェジ,0,0,0,0,0,1
タア,0,0,0,0,0,1
ィパ,0,0,0,0,0,1
ショヤ,0,0,0,0,0,1
ヘピョ,0,0,0,0,0,1
ルビュ,0,0,0,0,0,1
ヅビョ,0,0,0,0,0,1
ホメ,0,0,0,0,0,1
スン,0,0,0,0,0,1
ホニ,0,0,0,0,0,1
ピベ,0,0,0,0,0,1
ァジョ,0,0,0,0,0,1
ギャコ,0,0,0,0,0,1
プゼ,0,0,0,0,0,1
ドタ,0,0,0,0,0,1
イテ,0,0,0,0,0,1
ジュグ,0,0,0,0,0,1
キョメ,0,0,0,0,0,1
チニョ,0,0,0,0,0,1
ノジョ,0,0,0,0,0,1
カッ,0,0,0,0,0,1
ペズ,0,0,0,0,0,1
ビャプ,0,0,0,0,0,1
ギョデ,0,0,0,0,0,1
トピャ,0,0,0,0,0,1
ボピュ,0,0,0,0,0,1
ジュリュ,0,0,0,0,0,1
ヂム,0,0,0,0,0,1
ィノ,0,0,0,0,0,1
ムミャ,0,0,0,0,0,1
キュエ,0,0,0,0,0,1
チョギ,0,0,0,0,0,1
ザセ,0,0,0,0,0,1
