name,male,female,land,horse,monster,none
ホア,1,0,0,0,0,0
セイ,1,0,0,0,0,0
ヤジュ,1,0,0,0,0,0
セバ,1,0,0,0,0,0
カウ,1,0,0,0,0,0
ウス,1,0,0,0,0,0
ヒュチ,1,0,0,0,0,0
レジ,1,0,0,0,0,0
ホジ,1,0,0,0,0,0
カツ,1,0,0,0,0,0
キョオ,1,0,0,0,0,0
テツ,1,0,0,0,0,0
ラダ,1,0,0,0,0,0
ヒュー,1,0,0,0,0,0
テル,1,0,0,0,0,0
ラー,1,0,0,0,0,0
ゴツ,1,0,0,0,0,0
タバ,1,0,0,0,0,0
ジュハ,1,0,0,0,0,0
ドシ,1,0,0,0,0,0
シュテ,1,0,0,0,0,0
リガ,1,0,0,0,0,0
ゼボ,1,0,0,0,0,0
トゼ,1,0,0,0,0,0
ダオ,1,0,0,0,0,0
ムト,1,0,0,0,0,0
ムハ,1,0,0,0,0,0
メオ,1,0,0,0,0,0
ビテ,1,0,0,0,0,0
ソタ,1,0,0,0,0,0
セキ,1,0,0,0,0,0
オモ,1,0,0,0,0,0
ダズ,1,0,0,0,0,0
ロク,1,0,0,0,0,0
リガ,1,0,0,0,0,0
ツク,1,0,0,0,0,0
シハ,1,0,0,0,0,0
カフ,1,0,0,0,0,0
フム,1,0,0,0,0,0
スジ,1,0,0,0,0,0
バキ,1,0,0,0,0,0
クブ,1,0,0,0,0,0
ノブ,1,0,0,0,0,0
レィ,1,0,0,0,0,0
レキ,1,0,0,0,0,0
ニン,1,0,0,0,0,0
スタ,1,0,0,0,0,0
ボイ,1,0,0,0,0,0
ラジ,1,0,0,0,0,0
ヤシュ,1,0,0,0,0,0
ダロ,1,0,0,0,0,0
デオ,1,0,0,0,0,0
クダ,1,0,0,0,0,0
ウビ,1,0,0,0,0,0
チョル,1,0,0,0,0,0
ジャド,1,0,0,0,0,0
スド,1,0,0,0,0,0
ザロ,1,0,0,0,0,0
ムヒ,1,0,0,0,0,0
ミュゥ,0,1,0,0,0,0
シリャ,0,1,0,0,0,0
チュチュ,0,1,0,0,0,0
マホ,0,1,0,0,0,0
カエ,0,1,0,0,0,0
ニュィ,0,1,0,0,0,0
ナゥ,0,1,0,0,0,0
ミレ,0,1,0,0,0,0
ヒメ,0,1,0,0,0,0
ルザ,0,1,0,0,0,0
ピュナ,0,1,0,0,0,0
シエ,0,1,0,0,0,0
マミャ,0,1,0,0,0,0
ミャメ,0,1,0,0,0,0
ユモ,0,1,0,0,0,0
アノ,0,1,0,0,0,0
ノカ,0,1,0,0,0,0
シャノ,0,1,0,0,0,0
イツ,0,1,0,0,0,0
パニャ,0,1,0,0,0,0
サリュ,0,1,0,0,0,0
ネキ,0,1,0,0,0,0
リャエ,0,1,0,0,0,0
ルモ,0,1,0,0,0,0
メテ,0,1,0,0,0,0
ミポ,0,1,0,0,0,0
ジャナ,0,1,0,0,0,0
ニャワ,0,1,0,0,0,0
ノイ,0,1,0,0,0,0
ネノ,0,1,0,0,0,0
ミウ,0,1,0,0,0,0
タヤ,0,1,0,0,0,0
レリ,0,1,0,0,0,0
シネ,0,1,0,0,0,0
ロゼ,0,1,0,0,0,0
チキ,0,1,0,0,0,0
イナ,0,1,0,0,0,0
メム,0,1,0,0,0,0
サン,0,1,0,0,0,0
ラキ,0,1,0,0,0,0
ラナ,0,1,0,0,0,0
ナシャ,0,1,0,0,0,0
ウイ,0,1,0,0,0,0
シセ,0,0,1,0,0,0
モツ,0,0,1,0,0,0
ヴニャ,0,0,1,0,0,0
メチュ,0,0,1,0,0,0
キュハ,0,0,1,0,0,0
ヒド,0,0,1,0,0,0
ノド,0,0,1,0,0,0
ヘミ,0,0,1,0,0,0
ゴグ,0,0,1,0,0,0
アズ,0,0,1,0,0,0
サカ,0,0,1,0,0,0
ヤフ,0,0,1,0,0,0
カニュ,0,0,1,0,0,0
ニチャ,0,0,1,0,0,0
コホ,0,0,1,0,0,0
ミュダ,0,0,1,0,0,0
ヴユ,0,0,1,0,0,0
バポ,0,0,1,0,0,0
コヌ,0,0,1,0,0,0
チパ,0,0,1,0,0,0
ニズ,0,0,1,0,0,0
ヨサ,0,0,1,0,0,0
デザ,0,0,1,0,0,0
ショモ,0,0,1,0,0,0
ニャカ,0,0,1,0,0,0
フチャ,0,0,1,0,0,0
スチャ,0,0,1,0,0,0
チダ,0,0,1,0,0,0
ピノ,0,0,0,1,0,0
ヒモ,0,0,0,1,0,0
ビジュ,0,0,0,1,0,0
ミー,0,0,0,1,0,0
モグ,0,0,0,1,0,0
ワォ,0,0,0,1,0,0
トチ,0,0,0,1,0,0
イモ,0,0,0,1,0,0
ミケ,0,0,0,1,0,0
ニャン,0,0,0,1,0,0
ニャゴ,0,0,0,1,0,0
ツー,0,0,0,1,0,0
ギョシャ,0,0,0,1,0,0
エロ,0,0,0,1,0,0
フル,0,0,0,1,0,0
タラ,0,0,0,1,0,0
ポマ,0,0,0,1,0,0
キカ,0,0,0,1,0,0
ミャク,0,0,0,1,0,0
ペイ,0,0,0,1,0,0
ウケ,0,0,0,1,0,0
ボチ,0,0,0,1,0,0
ギイ,0,0,0,1,0,0
ビノ,0,0,0,1,0,0
デカ,0,0,0,1,0,0
ミニ,0,0,0,1,0,0
パテ,0,0,0,1,0,0
シャキ,0,0,0,1,0,0
ハチョ,0,0,0,1,0,0
ハゼ,0,0,0,1,0,0
ムイ,0,0,0,1,0,0
レプ,0,0,0,1,0,0
ズラ,0,0,0,1,0,0
ユシ,0,0,0,1,0,0
マル,0,0,0,1,0,0
イモ,0,0,0,1,0,0
マシ,0,0,0,1,0,0
チン,0,0,0,1,0,0
ルギャ,0,0,0,0,1,0
プノ,0,0,0,0,1,0
ドギ,0,0,0,0,1,0
ニュパ,0,0,0,0,1,0
マギャ,0,0,0,0,1,0
ガン,0,0,0,0,1,0
ゲー,0,0,0,0,1,0
ビョコ,0,0,0,0,1,0
ギカ,0,0,0,0,1,0
ノミュ,0,0,0,0,1,0
バミ,0,0,0,0,1,0
アプ,0,0,0,0,1,0
ニダ,0,0,0,0,1,0
チュル,0,0,0,0,1,0
シジャ,0,0,0,0,1,0
ヒュア,0,0,0,0,1,0
デメ,0,0,0,0,1,0
ゴシャ,0,0,0,0,1,0
ンゼ,0,0,0,0,0,1
ゥサ,0,0,0,0,0,1
ンニュ,0,0,0,0,0,1
ホア,0,0,0,0,0,1
セゼ,0,0,0,0,0,1
ンエ,0,0,0,0,0,1
ズオ,0,0,0,0,0,1
ピャギョ,0,0,0,0,0,1
ヌゾ,0,0,0,0,0,1
ァヂ,0,0,0,0,0,1
キュエ,0,0,0,0,0,1
ネギャ,0,0,0,0,0,1
グチ,0,0,0,0,0,1
テミャ,0,0,0,0,0,1
ギャミュ,0,0,0,0,0,1
リョリョ,0,0,0,0,0,1
エギョ,0,0,0,0,0,1
ペピャ,0,0,0,0,0,1
ァコ,0,0,0,0,0,1
ビャェ,0,0,0,0,0,1
チャリュ,0,0,0,0,0,1
ショゲ,0,0,0,0,0,1
ース,0,0,0,0,0,1
ボェ,0,0,0,0,0,1
ェゼ,0,0,0,0,0,1
ベゲ,0,0,0,0,0,1
ヒュデ,0,0,0,0,0,1
ゥチ,0,0,0,0,0,1
ノヒ,0,0,0,0,0,1
ビョシュ,0,0,0,0,0,1
チャゥ,0,0,0,0,0,1
キョロ,0,0,0,0,0,1
ピョシ,0,0,0,0,0,1
ニギュ,0,0,0,0,0,1
ロザ,0,0,0,0,0,1
ニョポ,0,0,0,0,0,1
ズリョ,0,0,0,0,0,1
ショソ,0,0,0,0,0,1
ニュプ,0,0,0,0,0,1
チュサ,0,0,0,0,0,1
ィジョ,0,0,0,0,0,1
ォン,0,0,0,0,0,1
タズ,0,0,0,0,0,1
ゥシュ,0,0,0,0,0,1
リュキョ,0,0,0,0,0,1
ワピョ,0,0,0,0,0,1
リュヘ,0,0,0,0,0,1
パニョ,0,0,0,0,0,1
チュジ,0,0,0,0,0,1
ジュー,0,0,0,0,0,1
リュソ,0,0,0,0,0,1
ワワ,0,0,0,0,0,1
ボピュ,0,0,0,0,0,1
ニョユ,0,0,0,0,0,1
セフ,0,0,0,0,0,1
チョキョ,0,0,0,0,0,1
ジャェ,0,0,0,0,0,1
イヂ,0,0,0,0,0,1
シャソ,0,0,0,0,0,1
ヘヒュ,0,0,0,0,0,1
ォネ,0,0,0,0,0,1
クン,0,0,0,0,0,1
ベテ,0,0,0,0,0,1
ヂウ,0,0,0,0,0,1
ブヘ,0,0,0,0,0,1
ヂミュ,0,0,0,0,0,1
ギャヨ,0,0,0,0,0,1
ーリ,0,0,0,0,0,1
ドピュ,0,0,0,0,0,1
ビビョ,0,0,0,0,0,1
ケダ,0,0,0,0,0,1
デチョ,0,0,0,0,0,1
スリュ,0,0,0,0,0,1
ヅチャ,0,0,0,0,0,1
ミュキャ,0,0,0,0,0,1
ジュピョ,0,0,0,0,0,1
ーヒ,0,0,0,0,0,1
クピョ,0,0,0,0,0,1
ナニュ,0,0,0,0,0,1
ケリャ,0,0,0,0,0,1
ジョポ,0,0,0,0,0,1
サチョ,0,0,0,0,0,1
ギャナ,0,0,0,0,0,1
キミャ,0,0,0,0,0,1
ヒギョ,0,0,0,0,0,1
ショギャ,0,0,0,0,0,1
リョジュ,0,0,0,0,0,1
スジョ,0,0,0,0,0,1
ミュギ,0,0,0,0,0,1
ゥミ,0,0,0,0,0,1
ヂヘ,0,0,0,0,0,1
エプ,0,0,0,0,0,1
ォゾ,0,0,0,0,0,1
テピュ,0,0,0,0,0,1
ハニョ,0,0,0,0,0,1
ビド,0,0,0,0,0,1
ヒュショ,0,0,0,0,0,1
ギュジュ,0,0,0,0,0,1
ェジャ,0,0,0,0,0,1
ギキョ,0,0,0,0,0,1
タヂ,0,0,0,0,0,1
ヂミュ,0,0,0,0,0,1
ルゲ,0,0,0,0,0,1
ジャピョ,0,0,0,0,0,1
ピュゼ,0,0,0,0,0,1
アァ,0,0,0,0,0,1
ビュビャ,0,0,0,0,0,1
ビョチ,0,0,0,0,0,1
ゴシュ,0,0,0,0,0,1
ギュプ,0,0,0,0,0,1
ブギュ,0,0,0,0,0,1
グイ,0,0,0,0,0,1
