name,male,female,land,horse,monster,none
ヘグ,1,0,0,0,0,0
オカ,1,0,0,0,0,0
ゲン,1,0,0,0,0,0
ムラ,1,0,0,0,0,0
シュル,1,0,0,0,0,0
オテ,1,0,0,0,0,0
ユジ,1,0,0,0,0,0
ハダ,1,0,0,0,0,0
オゼ,1,0,0,0,0,0
リバ,1,0,0,0,0,0
タジャ,1,0,0,0,0,0
ガヤ,1,0,0,0,0,0
ジキ,1,0,0,0,0,0
セキ,1,0,0,0,0,0
ヨサ,1,0,0,0,0,0
ニホ,0,1,0,0,0,0
ピネ,0,1,0,0,0,0
ニレ,0,1,0,0,0,0
アニ,0,1,0,0,0,0
チナ,0,1,0,0,0,0
キエ,0,1,0,0,0,0
ミハ,0,1,0,0,0,0
サチュ,0,1,0,0,0,0
レナ,0,1,0,0,0,0
アイ,0,1,0,0,0,0
ハイ,0,0,0,1,0,0
ヨホ,0,0,0,1,0,0
マロ,0,0,0,1,0,0
ネロ,0,0,0,1,0,0
ニワ,0,0,0,1,0,0
ブカ,0,0,0,1,0,0
イカ,0,0,0,1,0,0
ヤル,0,0,0,1,0,0
レバ,0,0,0,1,0,0
バク,0,0,0,1,0,0
ポカ,0,0,0,1,0,0
マパ,0,0,0,1,0,0
ツラ,0,0,0,1,0,0
ギイ,0,0,0,0,1,0
ズキュ,0,0,0,0,1,0
ザコ,0,0,0,0,1,0
オソ,0,0,0,0,1,0
パラ,0,0,0,0,0,1
テチャ,0,0,0,0,0,1
ニュソ,0,0,0,0,0,1
ジピャ,0,0,0,0,0,1
ダタ,0,0,0,0,0,1
ゲピ,0,0,0,0,0,1
ゾギョ,0,0,0,0,0,1
ジリョ,0,0,0,0,0,1
デヒ,0,0,0,0,0,1
ノピュ,0,0,0,0,0,1
ヴァ,0,0,0,0,0,1
ヌミャ,0,0,0,0,0,1
オテ,0,0,0,0,0,1
ボヒ,0,0,0,0,0,1
ギケ,0,0,0,0,0,1
ソプ,0,0,0,0,0,1
ダホ,0,0,0,0,0,1
テジュ,0,0,0,0,0,1
ミヂ,0,0,0,0,0,1
ッポ,0,0,0,0,0,1
テキュ,0,0,0,0,0,1
キョフ,0,0,0,0,0,1
ンサ,0,0,0,0,0,1
チショ,0,0,0,0,0,1
ゲジュ,0,0,0,0,0,1
グヤ,0,0,0,0,0,1
イニュ,0,0,0,0,0,1
ネア,0,0,0,0,0,1
ナヨ,0,0,0,0,0,1
テニョ,0,0,0,0,0,1
ケジ,0,0,0,0,0,1
ゼッ,0,0,0,0,0,1
ゼサ,0,0,0,0,0,1
ヤチャ,0,0,0,0,0,1
スミャ,0,0,0,0,0,1
ナプ,0,0,0,0,0,1
ウザ,0,0,0,0,0,1
ケビュ,0,0,0,0,0,1
ブサ,0,0,0,0,0,1
ガゥ,0,0,0,0,0,1
トビュ,0,0,0,0,0,1
キヂ,0,0,0,0,0,1
ゲミャ,0,0,0,0,0,1
イミュ,0,0,0,0,0,1
コェ,0,0,0,0,0,1
プメ,0,0,0,0,0,1
ボリ,0,0,0,0,0,1
スバ,0,0,0,0,0,1
ネセ,0,0,0,0,0,1
クー,0,0,0,0,0,1
バヒ,0,0,0,0,0,1
ドワ,0,0,0,0,0,1
ホゲ,0,0,0,0,0,1
ロヒュ,0,0,0,0,0,1
グォ,0,0,0,0,0,1
モビャ,0,0,0,0,0,1
クゴ,0,0,0,0,0,1
グハ,0,0,0,0,0,1
ヌヂ,0,0,0,0,0,1
