name,male,female,land,horse,monster,none
ジュモ,1,0,0,0,0,0
ジョズ,1,0,0,0,0,0
ビュテ,0,1,0,0,0,0
ピュマ,0,0,1,0,0,0
ビュー,0,0,0,1,0,0
シュボ,0,0,0,1,0,0
チュパ,0,0,0,1,0,0
パプ,0,0,0,1,0,0
ジャギュ,0,0,0,0,1,0
キョド,0,0,0,0,1,0
リョベ,0,0,0,0,0,1
ピャニ,0,0,0,0,0,1
ビュチャ,0,0,0,0,0,1
ビャシャ,0,0,0,0,0,1
ギュボ,0,0,0,0,0,1
ヒャパ,0,0,0,0,0,1
ィジュ,0,0,0,0,0,1
キャプ,0,0,0,0,0,1
ビャキョ,0,0,0,0,0,1
シュボ,0,0,0,0,0,1
キョピョ,0,0,0,0,0,1
ジュモ,0,0,0,0,0,1
ィシャ,0,0,0,0,0,1
ピュメ,0,0,0,0,0,1
ビャブ,0,0,0,0,0,1
ピュォ,0,0,0,0,0,1
ビュフ,0,0,0,0,0,1
チュジュ,0,0,0,0,0,1
リャミャ,0,0,0,0,0,1
ジャジュ,0,0,0,0,0,1
プミュ,0,0,0,0,0,1
ジャペ,0,0,0,0,0,1
シャビョ,0,0,0,0,0,1
リュヒュ,0,0,0,0,0,1
ビュド,0,0,0,0,0,1
チョィ,0,0,0,0,0,1
ヒャニャ,0,0,0,0,0,1
ペキュ,0,0,0,0,0,1
ポジャ,0,0,0,0,0,1
ィヒュ,0,0,0,0,0,1
キュジョ,0,0,0,0,0,1
ジョピャ,0,0,0,0,0,1
ニョチョ,0,0,0,0,0,1
ニョニャ,0,0,0,0,0,1
ォチュ,0,0,0,0,0,1
ニュジャ,0,0,0,0,0,1
シュヒョ,0,0,0,0,0,1
リュシュ,0,0,0,0,0,1
ゥビ,0,0,0,0,0,1
リョピャ,0,0,0,0,0,1
ギョィ,0,0,0,0,0,1
ビャキャ,0,0,0,0,0,1
ピュギ,0,0,0,0,0,1
ピジュ,0,0,0,0,0,1
ポィ,0,0,0,0,0,1
ピャヨ,0,0,0,0,0,1
ヒャヒョ,0,0,0,0,0,1
ゥキャ,0,0,0,0,0,1
リュヤ,0,0,0,0,0,1
ビャァ,0,0,0,0,0,1
ギュキュ,0,0,0,0,0,1
ヒャボ,0,0,0,0,0,1
リョピャ,0,0,0,0,0,1
ジョチュ,0,0,0,0,0,1
ジョヌ,0,0,0,0,0,1
ピャキョ,0,0,0,0,0,1
ギュェ,0,0,0,0,0,1
プキュ,0,0,0,0,0,1
シュビョ,0,0,0,0,0,1
パチュ,0,0,0,0,0,1
チョェ,0,0,0,0,0,1
ピャデ,0,0,0,0,0,1
ミョィ,0,0,0,0,0,1
ビュキャ,0,0,0,0,0,1
ビョヌ,0,0,0,0,0,1
ビュラ,0,0,0,0,0,1
ニョォ,0,0,0,0,0,1
パェ,0,0,0,0,0,1
ピャヌ,0,0,0,0,0,1
ピョビャ,0,0,0,0,0,1
チャギュ,0,0,0,0,0,1
ピャヘ,0,0,0,0,0,1
ミョギョ,0,0,0,0,0,1
ミュド,0,0,0,0,0,1
ミョショ,0,0,0,0,0,1
ミョジュ,0,0,0,0,0,1
ニュビョ,0,0,0,0,0,1
ギュモ,0,0,0,0,0,1
ギャギョ,0,0,0,0,0,1
ビュチュ,0,0,0,0,0,1
チョピャ,0,0,0,0,0,1
ギュォ,0,0,0,0,0,1
ビョノ,0,0,0,0,0,1
ジョヨ,0,0,0,0,0,1
ヒュパ,0,0,0,0,0,1
ビャシュ,0,0,0,0,0,1
ビョジョ,0,0,0,0,0,1
ビャバ,0,0,0,0,0,1
ビュギュ,0,0,0,0,0,1
ギョブ,0,0,0,0,0,1
プァ,0,0,0,0,0,1
チュチョ,0,0,0,0,0,1
